trip_id,arrival_time,departure_time,stop_id,stop_sequence
RA1-U-01,07:10:00,07:10:00,pa_terminal,1
RA1-U-01,07:14:00,07:14:00,pa_mercado,2
RA1-U-01,07:26:00,07:26:00,va_cruzamento,3
RA1-U-01,07:38:00,07:38:00,rc_ponte,4
RA1-U-01,07:42:00,07:42:00,rc_largo,5
RA1-U-01,07:47:00,07:47:00,rc_estacao,6
RA1-U-02,08:15:00,08:15:00,rc_estacao,1
RA1-U-02,08:19:00,08:19:00,rc_largo,2
RA1-U-02,08:23:00,08:23:00,rc_ponte,3
RA1-U-02,08:35:00,08:35:00,va_cruzamento,4
RA1-U-02,08:47:00,08:47:00,pa_mercado,5
RA1-U-02,08:52:00,08:52:00,pa_terminal,6
RA1-S-01,09:30:00,09:30:00,pa_terminal,1
RA1-S-01,09:34:00,09:34:00,pa_mercado,2
RA1-S-01,09:46:00,09:46:00,va_cruzamento,3
RA1-S-01,09:58:00,09:58:00,rc_ponte,4
RA1-S-01,10:02:00,10:02:00,rc_largo,5
RA1-S-01,10:07:00,10:07:00,rc_estacao,6
RA2-U-01,08:00:00,08:00:00,pa_terminal,1
RA2-U-01,08:05:00,08:05:00,pa_mercado,2
RA2-U-01,08:11:00,08:11:00,pa_escola,3
RA2-U-01,08:18:00,08:18:00,pa_hospital,4
RA2-U-01,08:27:00,08:27:00,pa_terminal,5
RA2-U-02,17:30:00,17:30:00,pa_terminal,1
RA2-U-02,17:35:00,17:35:00,pa_mercado,2
RA2-U-02,17:41:00,17:41:00,pa_escola,3
RA2-U-02,17:48:00,17:48:00,pa_hospital,4
RA2-U-02,17:57:00,17:57:00,pa_terminal,5
